bound_pad,mode,n,relax_rate,runtime_s,sbert,rouge1,rouge2,rougeL,init_width,relaxed_width,bound_shift,relax_freq,num_relaxed
-0.3,symmetric,100,0.66,4.5521,0.8475,0.5193,0.3408,0.3846,0.4717,0.5631,0.9143,1.88,1.0
-0.3,directional,100,0.66,4.5471,0.8475,0.519,0.3405,0.3843,0.4717,0.5558,0.8411,1.88,1.0
-0.3,feasopt,100,0.66,6.1231,0.8441,0.5178,0.3397,0.3809,0.4717,0.4949,0.232,0.66,1.78
-0.4,symmetric,100,0.78,5.8858,0.8329,0.5072,0.3279,0.3757,0.2364,0.4323,1.9583,3.79,1.75
-0.4,directional,100,0.78,5.9921,0.8335,0.5067,0.3271,0.3745,0.2364,0.4115,1.7506,3.79,1.75
-0.4,feasopt,100,0.78,5.415,0.8339,0.5111,0.3335,0.3834,0.2364,0.3153,0.7887,0.78,2.85
-0.5,symmetric,100,0.97,8.71,0.8257,0.4886,0.3044,0.358,0.0012,0.3569,3.5573,7.72,2.08
-0.5,directional,100,0.97,8.8093,0.8259,0.4913,0.3087,0.3613,0.0012,0.3358,3.3459,7.72,2.08
-0.5,feasopt,100,0.97,2.22,0.8267,0.4999,0.3192,0.3691,0.0012,0.1721,1.7095,0.97,5.47
-0.6,symmetric,100,1.0,3.8149,0.8275,0.4914,0.3125,0.3607,-0.2341,0.3667,6.0074,12.94,2.8
-0.6,directional,100,1.0,8.3529,0.8273,0.4905,0.311,0.3593,-0.2341,0.3238,5.5783,12.94,2.8
-0.6,feasopt,100,1.0,4.1079,0.8275,0.5022,0.3225,0.3699,-0.2341,0.0821,3.162,1.0,7.87
