bound_pad,mode,n,relax_rate,runtime_s,sbert,rouge1,rouge2,rougeL,init_width,relaxed_width,bound_shift,relax_freq,num_relaxed
-0.3,symmetric,66,0.66,5.7437,0.8577,0.5204,0.3297,0.3742,0.4058,0.5443,1.3853,2.8485,1.5152
-0.3,directional,66,0.66,5.7361,0.8577,0.52,0.3293,0.3739,0.4058,0.5332,1.2744,2.8485,1.5152
-0.3,feasopt,66,0.66,8.1444,0.8526,0.5181,0.328,0.3687,0.4058,0.4409,0.3516,1.0,2.697
-0.4,symmetric,78,0.78,6.387,0.8385,0.5144,0.3348,0.3805,0.1801,0.4312,2.5106,4.859,2.2436
-0.4,directional,78,0.78,6.4988,0.8392,0.5137,0.3337,0.379,0.1801,0.4046,2.2443,4.859,2.2436
-0.4,feasopt,78,0.78,5.7686,0.8398,0.5194,0.3419,0.3905,0.1801,0.2812,1.0112,1.0,3.6538
-0.5,symmetric,97,0.97,8.9328,0.8293,0.4911,0.3072,0.3601,-0.0111,0.3557,3.6674,7.9588,2.1443
-0.5,directional,97,0.97,9.0331,0.8295,0.4939,0.3117,0.3636,-0.0111,0.3339,3.4493,7.9588,2.1443
-0.5,feasopt,97,0.97,2.2711,0.8303,0.5027,0.3225,0.3716,-0.0111,0.1652,1.7624,1.0,5.6392
-0.6,symmetric,100,1.0,3.8149,0.8275,0.4914,0.3125,0.3607,-0.2341,0.3667,6.0074,12.94,2.8
-0.6,directional,100,1.0,8.3529,0.8273,0.4905,0.311,0.3593,-0.2341,0.3238,5.5783,12.94,2.8
-0.6,feasopt,100,1.0,4.1079,0.8275,0.5022,0.3225,0.3699,-0.2341,0.0821,3.162,1.0,7.87
