rounds,sym_s,dir_s,feas_s
4,2.630264961,2.6177285710000007,2.1868989019999994
13,8.467735601999998,8.139181312000005,1.2130222190000097
3,8.331925389999995,8.119442088,4.802443619999991
11,61.92487719500002,61.950575816000025,62.87458647
10,8.707896535999907,9.148549543000058,2.971167524000066
12,61.94808646700017,62.367444446000036,38.407785354
6,1.8996342759999152,1.868371303999993,1.8303751969999666
6,2.8276310399999147,2.954798865999919,3.005521818000034
6,2.747390661000054,2.5953743489999397,4.642317437999964
6,1.2121262220000517,1.14789174800012,1.2948631920000935
8,4.467109163000032,4.37370785600001,1.2485180470000614
7,1.0667454480001197,1.0799374680000255,1.3528804490001676
2,1.217417234999857,1.250375867999992,4.320000458000095
3,2.1627516759999708,1.9784990219998235,1.5357457430000068
2,1.9317978869999024,1.9162912420001703,2.785106238999788
6,6.50574154800006,6.73234497999988,1.4696161669999128
5,2.0462918880000416,2.116384270000026,14.121374147999859
6,1.3290632569999161,1.2535058880000634,0.8917688550000094
5,1.3812884239998766,1.3144053080000049,1.680705472999989
6,3.757983627000158,3.5600576159999946,1.0796834929999477
6,2.990514917000155,2.8350852440000835,1.0827528790000542
1,1.3561117330000343,1.3660598659998868,1.4666643429998203
2,58.104582630000095,58.29855138200014,1.433997313999953
1,1.3204251230001773,1.1535107939998852,1.0631339419999222
1,1.4330059100000199,1.4293200709998928,1.4123567579999872
1,2.1049335929999415,2.0991830750001554,2.3490219989998877
1,1.386337937999997,1.5337070470000072,1.4162055920000967
7,1.135015618999887,1.1135932290001165,1.1614707859998816
7,1.714132902000074,1.749893293000241,1.540326376999701
7,1.3535185929999898,1.2928531279999333,1.1947991320002984
4,1.268857399999888,1.2992812610000328,1.1658112119998805
3,1.248860811999748,1.3066694489998554,2.023840070999995
3,12.106579670999963,11.98904707299971,1.2014052649997211
10,1.5933592450001015,1.6182008939999832,1.7647829469997305
14,33.414337593000255,33.332474677999926,1.1795841940001992
11,1.4190133960000821,1.272782946999996,1.6322323719996348
9,2.338524247999885,2.3475799829998323,2.1148273630001313
9,2.650104093000209,2.737305523000032,1.4483073549999972
10,2.016110120999656,2.01270778099979,1.906753414999912
12,4.177172596000219,4.229942340000434,1.5345988320000288
14,63.425704041000245,63.622944104,1.5020351050002319
12,1.6150026549998984,1.5729606749996492,2.182267399000011
9,1.7452556600001117,1.7264432750002925,0.808473672999753
5,1.049831298999834,1.015804542999831,5.506894957999975
5,1.167345342000317,1.0888946499999292,2.1842724180000914
12,9.732944773999861,10.447433314999671,5.102392926999983
13,19.046449104000203,19.56092787100033,2.5891405410002335
12,61.75206864199981,61.842016089000026,16.421350647000054
11,1.2507029389998934,1.3131461170000875,1.030197692999991
12,1.1834429020000243,1.2489373590001378,1.0236459310003738
12,1.2851879659997394,1.2255234770000243,1.1999450270000125
11,14.661343050000141,14.534104974999991,1.9505148459998054
12,60.686405245999595,60.821140474,8.28799927
12,47.115865340000255,46.00656401299966,33.072244429999955
8,9.06994939299966,9.445121672999448,1.1773823509993235
6,1.2356855510006426,1.2127332830004889,1.5147146919998704
8,38.45322923999993,36.54180663400075,1.3859348840005623
6,1.3387731350003378,1.2584026129998165,1.264171814999827
6,1.6332789830003094,1.6723692460000166,1.3996087469995473
6,1.9562169969995011,2.04045268200025,2.068840760999592
6,1.192217126000287,1.2017989809992287,0.9885148190005566
6,1.2804782699995485,1.301657814000464,0.9518292779994226
6,1.3579161910001858,1.3359134160000394,1.0128700180002852
5,1.2719858990003559,1.2314986860001227,2.1037117180003406
7,1.5574234109999452,1.5125762079997003,1.9028486560000601
5,1.6226472719999947,1.7397466780003015,7.43290208200051
3,1.1136877509998158,1.1547782890002054,1.2657998630002112
3,1.2516941730000326,1.3021041860001787,1.253346256000441
4,17.474616987000445,16.080606856000486,1.241111773000739
7,1.4000373850003598,1.4452503940001407,2.1708137650002755
16,7.786570014000063,7.957435631000408,1.0213338390003628
7,2.106373853999685,2.1229020509999827,1.8750986879995253
7,1.698087122999823,1.7831191240002227,1.702354863000437
8,1.967142915000295,1.9808255890002329,2.2823835630006215
7,2.383319886999743,2.46399052400011,1.5147108170003776
11,1.8568245750002461,1.8937062040004093,1.7142270170006668
15,3.8772044820007068,2.8160825169998134,1.6452018959998895
11,2.295163276000494,2.3176332920002096,1.410717810999813
7,1.5485558649997984,1.6190330729996276,2.683553032999953
8,62.89818542800003,62.97717672499948,2.114240040000368
